id,x,y
322,1.0501804,0.56856084
323,1.4300969,0.67412513
324,1.4249524,0.63018167
325,1.1421905,0.4481905
326,0.85724145,0.06250764
327,0.955112,-0.021714052
328,1.263457,0.5060445
329,1.361198,0.3207034
330,1.4948578,1.0342634
331,1.243507,0.67816615
332,1.2789848,0.7227196
333,1.6773821,-2.1169457
334,1.708284,0.87627834
335,1.2569308,0.46431234
336,1.2497218,0.7356226
337,1.3494192,0.5145204
338,1.0092379,0.48802078
339,1.0720122,0.20384938
340,0.91444474,-0.8920497
341,1.1297425,0.15099806
342,1.4965519,1.0309284
343,0.98335415,0.07178838
344,1.238262,0.71902305
345,1.4579473,0.6925151
346,1.5287527,0.8628577
347,1.7844778,1.1316972
348,1.5961988,0.8498786
349,0.8869795,0.0062869396
350,1.6880739,0.9451817
351,1.498016,0.8033095
352,1.0930694,0.22329272
353,0.93631274,0.32508793
354,0.85838723,0.19014123
355,1.9350657,1.1665772
356,1.3054054,0.7544109
357,1.423985,0.8183994
358,1.366928,0.9165853
359,1.2031498,0.6917187
360,1.0068866,0.31508836
361,0.8771062,-0.24310558
362,1.7184962,1.1775187
363,1.0703204,0.22128567
364,0.9989425,0.38050944
365,1.2667738,0.6985951
366,2.1161275,1.3577133
367,1.2024404,0.6287293
368,1.3381846,0.7114231
369,1.2713292,0.7550468
370,1.4065688,0.7359866
371,1.1719033,-1.599697
372,1.3373368,0.7690337
